Country_Region;Province_State;Start_Date;End_Date;Level;Anotation;
 Albania;;13/03/2020;;National;National lockdown;
 Algeria;;23/03/2020;14/05/2020;City;City lockdown;
 Argentina;;19/03/2020;24/05/2020;National;National lockdown;
 Armenia;;24/03/2020;04/05/2020;National;National lockdown;
 Australia;;23/03/2020;;National;National lockdown;
 Austria;;16/03/2020;13/04/2020;National;National lockdown;
 Azerbaijan;;31/03/2020;20/04/2020;National;National lockdown;
 Bangladesh;;26/03/2020;16/05/2020;National;National lockdown;
 Barbados;;28/03/2020;03/05/2020;National;National lockdown;
 Belgium;;18/03/2020;04/05/2020;National;National lockdown;
 Bermuda;;04/04/2020;02/05/2020;National;National lockdown;
 Bolivia;;22/03/2020;15/04/2020;National;National lockdown;
 Botswana;;02/04/2020;30/04/2020;National;National lockdown;
 Brazil;Santa Catarina;17/03/2020;07/04/2020;State;State lockdown in Santa Catarina ;
 Brazil;São Paulo;24/03/2020;10/05/2020;State;State lockdown in São Paulo ;
 Chile;;19/03/2020;;National;National lockdown;
 Colombia;;25/03/2020;11/05/2020;National;National lockdown;
 Republic of the Congo;;31/03/2020;20/04/2020;National;National lockdown;
 Costa Rica;;23/03/2020;;National;National lockdown;
 Croatia;;18/03/2020;19/04/2020;National;National lockdown;
 Cuba;;23/03/2020;20/04/2020;National;National lockdown;
 Czech Republic;;16/03/2020;12/04/2020;National;National lockdown;
 Denmark;;11/03/2020;13/04/2020;National;National lockdown;
 Dominican Republic;;19/03/2020;;National;National lockdown;
 Ecuador;;16/03/2020;31/03/2020;National;National lockdown;
 El Salvador;;12/03/2020;02/04/2020;National;National lockdown;
 Eritrea;;02/04/2020;23/04/2020;National;National lockdown;
 Fiji;Lautoka;20/03/2020;07/04/2020;City;City lockdown in Lautoka ;
 Fiji;Suva;03/04/2020;17/04/2020;City;City lockdown in Suva ;
 Finland;Uusimaa;27/03/2020;16/04/2020;Region;Region lockdown in Uusimaa ;
 France;;17/03/2020;11/05/2020;National;National lockdown;
 Georgia;;31/03/2020;21/04/2020;National;National lockdown;
 Germany;;23/03/2020;20/04/2020;National;National lockdown;
 Ghana;Accra;30/03/2020;12/04/2020;Region;Region lockdown in Accra ;
